agent_id,quarter_initial,income_initial,quintile_initial,skills_initial,oer_engaged_initial,signal_completed_initial,employment_initial,quarter_final,income_final,quintile_final,skills_final,oer_engaged_final,signal_completed_final,employment_final
5466,0,837258.1304805403,4,0.0,False,False,employed,40,496435.5252632059,4,0.0,False,False,employed
5467,0,204233.01134003128,4,0.0,False,False,employed,40,342409.62616961775,4,0.0,False,False,employed
5468,0,70111.69124162637,2,0.0,True,False,employed,40,221688.53057626393,4,41.93228198475398,False,True,employed
5469,0,26830.46729082106,0,0.0,False,False,employed,40,55952.41719327748,1,0.0,False,False,employed
5470,0,245657.45685263103,3,0.0,False,False,employed,40,1993748.0888724737,4,0.0,False,False,employed
5471,0,93105.06289831441,2,0.0,False,False,employed,40,164899.63889515318,4,0.0,False,False,employed
5472,0,22888.31793800707,0,0.0,False,False,employed,40,60921.3152624935,2,0.0,False,False,employed
5473,0,26389.151445669795,0,0.0,True,False,employed,40,16115.319476876895,0,1.9570352842852652,False,False,employed
5474,0,101084.47968078514,3,0.0,False,False,employed,40,167862.20578949346,4,0.0,False,False,employed
5475,0,231673.5917516014,3,0.0,False,False,employed,40,440240.3306279468,4,0.0,False,False,employed
5476,0,90847.38386745674,1,0.0,False,False,employed,40,417433.3988497853,4,0.0,False,False,employed
5477,0,477766.1802027598,4,0.0,False,False,employed,40,415885.3575748924,4,0.0,False,False,employed
5478,0,29847.296883177896,0,0.0,False,False,employed,40,46177.79224221366,1,0.0,False,False,employed
5479,0,169368.45665216306,3,0.0,False,False,employed,40,844901.6736561619,4,0.0,False,False,employed
5480,0,244468.9766348547,3,0.0,False,False,employed,40,201396.57456872312,4,0.0,False,False,employed
5481,0,152295.68642628295,3,0.0,False,False,not_in_lf,40,152295.68642628295,3,0.0,False,False,not_in_lf
5482,0,411791.1783703867,4,0.0,False,False,employed,40,1098437.4872938083,4,0.0,False,False,employed
5483,0,147464.55313841216,3,0.0,False,False,employed,40,189725.2688041879,4,0.0,False,False,employed
5484,0,626326.5512328699,4,0.0,False,False,employed,40,775222.2412587737,4,0.0,False,False,employed
5485,0,132532.31382249354,3,0.0,False,False,employed,40,827879.5795227461,4,0.0,False,False,employed
5486,0,133665.21907535926,2,0.0,False,False,employed,40,124303.20796376554,3,0.0,False,False,employed
5487,0,351578.4977949015,4,0.0,False,False,employed,40,378683.88022975565,4,0.0,False,False,employed
5488,0,27460.28433269267,0,0.0,False,False,employed,40,52029.24718094515,1,0.0,False,False,employed
5489,0,4833.5724963830535,0,0.0,False,False,employed,40,25395.007030042812,0,0.0,False,False,employed
5490,0,429515.2937300453,4,0.0,False,False,employed,40,3468803.0020638495,4,0.0,False,False,employed
5491,0,427433.0520586197,4,0.0,False,False,employed,40,896173.809010986,4,0.0,False,False,employed
5492,0,458511.24287402874,4,0.0,False,False,employed,40,622696.374707852,4,0.0,False,False,employed
5493,0,888.1453323960567,0,0.0,False,False,employed,40,5320.694910880369,0,0.0,False,False,employed
5494,0,174763.88946610608,3,0.0,False,False,employed,40,543186.4915548732,4,0.0,False,False,employed
5495,0,27368.794385573547,0,0.0,False,False,employed,40,33881.455403351785,1,0.0,False,False,employed
5496,0,88454.63086328663,2,0.0,False,False,employed,40,95611.2679302254,2,0.0,False,False,employed
5497,0,40605.82421442366,1,0.0,False,False,employed,40,250851.9307107766,4,0.0,False,False,employed
5498,0,624.2691141050574,0,0.0,True,False,employed,40,2214.8107839761005,0,2.224514506061205,False,False,employed
5499,0,10938.28429229096,0,0.0,False,False,employed,40,18160.54661324876,0,0.0,False,False,employed
5500,0,58548.9239014597,0,0.0,False,False,employed,40,88590.41666551573,2,0.0,False,False,employed
5501,0,142280.4253234706,3,0.0,False,False,employed,40,431675.55744203663,4,0.0,False,False,employed
